平成28年度,婚姻に関する統計（人口動態調査特殊報告）,,,,,,,
Marriage Statistics (Specified Report of Vital Statistics in FY2016),,,,,,,,
,,,,,,,,
第11表　婚姻件数・構成割合，夫妻の日本－外国の組合せ・年次別　－昭和40～平成27年－,,,,,,,,
"Table11. Trends in marriages and percent distribution by international couples of brides and grooms, 1965-2015",,,,,,,,
,,,,,,,,
年　次,,"婚姻件数
（組）",夫妻の一方が外国人  ,,,,,
Year,,Marriages(couple),One of couple is foreigner,,,,,
,,,実　　数（組）,,,構成割合（％）,,
,,,Number(couple),,,Percentage(%),,
,,,総　数,夫 日 本,妻 日 本,総　数,夫 日 本,妻 日 本
,,,,妻 外 国,夫 外 国,,妻 外 国,夫 外 国
,,,Total,Japanese groom and foreign bride,Japanese bride and foreign groom,Total,Japanese groom and foreign bride,Japanese bride and foreign groom
1965,昭和40年,954852,4156,1067,3089,0.4,0.1,0.3
66,41,940120,3976,1056,2920,0.4,0.1,0.3
67,42,953096,4485,1348,3137,0.5,0.1,0.3
68,43,956312,4784,1460,3324,0.5,0.2,0.3
69,44,984142,5079,1719,3360,0.5,0.2,0.3
1970,45,1029405,5546,2108,3438,0.5,0.2,0.3
71,46,1091229,5590,2350,3240,0.5,0.2,0.3
72,47,1099984,5996,2674,3322,0.5,0.2,0.3
73,48,1071923,6193,2849,3344,0.6,0.3,0.3
74,49,1000455,6359,3177,3182,0.6,0.3,0.3
75,50,941628,6045,3222,2823,0.6,0.3,0.3
76,51,871543,6322,3467,2855,0.7,0.4,0.3
77,52,821029,6071,3501,2570,0.7,0.4,0.3
78,53,793257,6280,3620,2660,0.8,0.5,0.3
79,54,788505,6731,3921,2810,0.9,0.5,0.4
1980,55,774702,7261,4386,2875,0.9,0.6,0.4
81,56,776531,7757,4813,2944,1,0.6,0.4
82,57,781252,8956,5697,3259,1.1,0.7,0.4
83,58,762552,10451,7000,3451,1.4,0.9,0.5
84,59,739991,10508,6828,3680,1.4,0.9,0.5
85,60,735850,12181,7738,4443,1.7,1.1,0.6
86,61,710962,12529,8255,4274,1.8,1.2,0.6
87,62,696173,14584,10176,4408,2.1,1.5,0.6
88,63,707716,16872,12267,4605,2.4,1.7,0.7
89,平成元,708316,22843,17800,5043,3.2,2.5,0.7
1990,2,722138,25626,20026,5600,3.5,2.8,0.8
91,3,742264,25159,19096,6063,3.4,2.6,0.8
92,4,754441,25862,19423,6439,3.4,2.6,0.9
93,5,792658,26657,20092,6565,3.4,2.5,0.8
94,6,782738,25812,19216,6596,3.3,2.5,0.8
95,7,791888,27727,20787,6940,3.5,2.6,0.9
96,8,795080,28372,21162,7210,3.6,2.7,0.9
97,9,775651,28251,20902,7349,3.6,2.7,0.9
98,10,784595,29636,22159,7477,3.8,2.8,1
99,11,762028,31900,24272,7628,4.2,3.2,1
2000,12,798138,36263,28326,7937,4.5,3.5,1
1,13,799999,39727,31972,7755,5,4,1
2,14,757331,35879,27957,7922,4.7,3.7,1
3,15,740191,36039,27881,8158,4.9,3.8,1.1
4,16,720417,39511,30907,8604,5.5,4.3,1.2
5,17,714265,41481,33116,8365,5.8,4.6,1.2
6,18,730971,44701,35993,8708,6.1,4.9,1.2
7,19,719822,40272,31807,8465,5.6,4.4,1.2
8,20,726106,36969,28720,8249,5.1,4,1.1
9,21,707734,34393,26747,7646,4.9,3.8,1.1
10,22,700214,30207,22843,7364,4.3,3.3,1.1
11,23,661895,25934,19022,6912,3.9,2.9,1
12,24,668869,23657,17198,6459,3.5,2.6,1
13,25,660613,21488,15442,6046,3.3,2.3,0.9
14,26,643749,21130,14998,6132,3.3,2.3,1
15,27,635156,20976,14809,6167,3.3,2.3,1
